Run 1; Fc 5-1; Cy 3; 3321; Conc 0.1524158 0.4572474 1.371742 4.115226 12.34568 37.03704 111.1111 333.3333 1000 nM_X 	Run 1; Fc 5-1; Cy 3; 3321; Conc 0.1524158 0.4572474 1.371742 4.115226 12.34568 37.03704 111.1111 333.3333 1000 nM_Y 	Run 1; Fc 5-1; Cy 3; 3321; Conc 0.1524158 0.4572474 1.371742 4.115226 12.34568 37.03704 111.1111 333.3333 1000 nM; Fitted_X 	Run 1; Fc 5-1; Cy 3; 3321; Conc 0.1524158 0.4572474 1.371742 4.115226 12.34568 37.03704 111.1111 333.3333 1000 nM; Fitted_Y 	
-8.10000038146973 	0.00410000010379008 	-8.10000038146973 	0 	
-8 	0.00480000018433202 	-8 	0 	
-7.89999961853027 	0.00579999993351521 	-7.89999961853027 	0 	
-7.80000114440918 	0.0051999997740495 	-7.80000114440918 	0 	
-7.70000076293945 	0.00730000019757426 	-7.70000076293945 	0 	
-7.60000038146973 	0.00889999968421762 	-7.60000038146973 	0 	
-7.5 	0.0114999998622807 	-7.5 	0 	
-7.39999961853027 	0.0121000003709923 	-7.39999961853027 	0 	
-7.30000114440918 	0.0113000000346801 	-7.30000114440918 	0 	
-7.20000076293945 	0.00829999987763586 	-7.20000076293945 	0 	
-7.10000038146973 	0.0063999998383224 	-7.10000038146973 	0 	
-7 	0.00349999984973692 	-7 	0 	
-6.89999961853027 	0.00190000006841728 	-6.89999961853027 	0 	
-6.80000114440918 	0.00189999991562217 	-6.80000114440918 	0 	
-6.70000076293945 	-0.000299999952403596 	-6.70000076293945 	0 	
-6.60000038146973 	0.000299999977869447 	-6.60000038146973 	0 	
-6.5 	-0.000500000001920853 	-6.5 	0 	
-6.39999961853027 	-0.000700000004144385 	-6.39999961853027 	0 	
-6.30000114440918 	-0.00169999998615822 	-6.30000114440918 	0 	
-6.20000076293945 	-0.0026000000325439 	-6.20000076293945 	0 	
-6.10000038146973 	-0.00289999992310186 	-6.10000038146973 	0 	
-6 	-0.00200000000404543 	-6 	0 	
-5.89999961853027 	-0.00180000018372084 	-5.89999961853027 	0 	
-5.80000114440918 	-0.00129999992714147 	-5.80000114440918 	0 	
-5.70000076293945 	0.000399999818910146 	-5.70000076293945 	0 	
-5.60000038146973 	0.00119999982052832 	-5.60000038146973 	0 	
-5.5 	0.000899999864486745 	-5.5 	0 	
-5.39999961853027 	-0.00119999961680151 	-5.39999961853027 	0 	
-5.30000114440918 	-0.000800000369054032 	-5.30000114440918 	0 	
-5.20000076293945 	-0.00169999960053246 	-5.20000076293945 	0 	
-5.10000038146973 	-0.00259999967602198 	-5.10000038146973 	0 	
-5 	-0.00380000035147532 	-5 	0 	
-4.89999961853027 	-0.00479999992603553 	-4.89999961853027 	0 	
-4.80000114440918 	-0.00619999966875184 	-4.80000114440918 	0 	
-4.70000076293945 	-0.00540000035107369 	-4.70000076293945 	0 	
-4.60000038146973 	-0.00830000043424661 	-4.60000038146973 	0 	
-4.5 	-0.00880000042525353 	-4.5 	0 	
